RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024,2/29/2024,3/31/2024,4/30/2024,5/31/2024,6/30/2024,7/31/2024,8/31/2024,9/30/2024,10/31/2024,11/30/2024,12/31/2024,1/31/2025,2/28/2025,3/31/2025,4/30/2025,5/31/2025,6/30/2025,7/31/2025,8/31/2025
6181,0,New York,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2681.690193,2696.314591,2718.640329,2745.694396,2769.214494,2790.714773,2803.105998,2814.782073,2821.111496,2819.116734,2806.132638,2789.711477,2781.760604,2783.380763,2793.830474,2807.448501,2824.996326,2842.167222,2858.839603,2867.058646,2867.366291,2856.970979,2844.067579,2824.68924,2815.868821,2814.636081,2828.13357,2845.928912,2868.470367,2888.495984,2902.575659,2906.478845,2898.083208,2876.920276,2851.673271,2832.602541,2829.422572,2836.92172,2855.572454,2879.353815,2904.878732,2926.973629,2943.365957,2953.460025,2954.752841,2942.11748,2925.01767,2908.183335,2903.761763,2913.506296,2933.488528,2959.327894,2986.797308,3014.184299,3035.325334,3048.338729,3050.37408,3044.514477,3026.326499,3013.109319,3010.558142,3029.67397,3045.132968,3033.912102,3003.900915,2961.414547,2919.299776,2850.785126,,2708.19706,2659.663312,2633.65694,2623.88398,2639.806819,2669.621028,2712.856527,2772.320898,2846.804479,2932.841852,3010.918579,3074.258961,3112.024076,3141.331561,3162.301094,3193.268375,3230.476826,3277.392491,3327.252296,3388.394028,3452.758414,3507.203613,3540.621594,3546.431304,3528.848907,3489.572717,3458.257262,3450.428772,3463.119444,3489.35264,3525.021367,3568.988526,3611.462884,3641.764212,3653.967287,3651.126156,3626.682391,3590.402676,3560.380323,3559.11181,3582.679726,3624.27293,3666.46494,3710.398789,3746.806234,3768.094895,3773.257547,3757.350531,3734.824729,3709.610062,3694.843982,3698.398169,3728.726614,3772.252674,3821.360052,3858.042137,3908.684985,3953.954118,3989.200455
12447,1,Los Angeles,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1783.747968,1797.637252,1813.854264,1826.365924,1848.238879,1858.509945,1872.542918,1880.350744,1898.998258,1909.140003,1911.471275,1916.423781,1929.792971,1950.992809,1967.127312,1974.842826,1994.091009,2009.781036,2024.752686,2021.759285,2021.395778,2025.074162,2026.583509,2033.835821,2048.867621,2066.828703,2091.023591,2101.771631,2116.965959,2125.056637,2137.64454,2145.668305,2147.009089,2150.309987,2156.338339,2165.266815,2176.730296,2192.074912,2199.918237,2207.856313,2213.571809,2230.570433,2244.547281,2257.06408,2261.307351,2263.604732,2266.286909,2272.609707,2277.440883,2278.179162,2289.071552,2301.66541,2317.565836,2328.439429,2338.43856,2345.105867,2348.880638,2347.443359,2345.081604,2345.304097,2348.556111,2356.537063,2354.271897,2343.074401,2327.286298,2317.841235,2315.979575,2310.781668,2299.652084,2286.879158,2279.821785,2275.653633,2280.699878,2283.217003,2291.740423,2299.814734,2318.624511,2349.688102,2389.408533,2436.320636,2471.171929,2494.042475,2506.520691,2526.303516,2546.873301,2571.038351,2587.512823,2611.741363,2634.631205,2658.623549,2680.171408,2697.28595,2708.910109,2703.671322,2696.458699,2688.501008,2687.88084,2691.853932,2705.495323,2715.394543,2720.448952,2718.838326,2720.244278,2725.829202,2727.998663,2722.409329,2707.703839,2694.912835,2699.000901,2707.044666,2721.969625,2730.968348,2743.880975,2753.128867,2762.340183,2766.535091,2771.627222,2770.326547,2768.744511,2762.443382,2787.311961,2809.317646,2832.677819,2823.581197,2822.528391,2820.642057,2824.253887,2826.066152
39051,2,Houston,city,TX,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County,1177.024537,1180.506835,1185.219619,1195.109639,1205.107933,1214.303216,1213.638387,1214.269563,1211.667548,1210.231188,1208.22488,1205.208966,1205.362718,1205.072276,1212.278281,1218.815382,1223.13751,1223.512624,1221.558396,1218.900134,1213.632687,1211.330976,1206.948209,1204.649546,1204.714216,1212.120583,1220.458855,1223.980695,1231.022138,1231.721925,1231.345541,1224.934623,1231.482738,1240.855464,1253.881195,1262.182426,1264.608993,1271.028031,1270.459563,1278.822844,1280.541058,1286.499431,1285.357485,1282.930771,1278.736928,1279.877236,1282.675651,1282.272759,1281.371964,1277.715745,1284.093976,1289.15077,1299.195677,1305.850809,1309.41432,1310.012897,1306.067679,1304.817919,1302.83786,1306.475536,1308.729795,1315.013475,1320.947377,1316.82099,1310.270471,1302.073837,1305.49263,1307.888444,1306.256771,1306.322429,1305.93542,1303.691858,1304.947868,1305.996003,1315.423309,1327.340296,1347.393349,1374.99579,1400.638211,1422.216477,1434.813528,1440.67444,1444.597116,1444.684916,1450.300813,1459.030205,1470.013382,1480.652416,1491.964973,1506.434346,1517.268936,1522.146145,1520.08161,1513.621319,1506.366149,1504.781261,1508.73156,1517.96886,1527.952382,1533.249206,1540.06741,1546.565167,1553.179219,1553.656368,1549.094274,1544.696853,1541.175081,1540.660409,1541.662286,1544.882218,1546.196845,1552.38243,1560.343775,1569.435596,1573.168598,1575.71024,1577.3045,1578.037952,1575.753322,1573.10313,1573.12366,1575.542496,1583.568325,1587.967654,1589.251926,1580.284768,1580.491964,1579.514973
17426,3,Chicago,city,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1500.706923,1510.149491,1520.802064,1531.895507,1545.052922,1557.877056,1563.824456,1566.941121,1560.270216,1551.338913,1540.179167,1539.388156,1551.027762,1565.259038,1579.368871,1586.173305,1594.714845,1604.733586,1613.125817,1618.032368,1609.261317,1595.743065,1577.66501,1570.577853,1577.863129,1597.014185,1618.334612,1632.811084,1644.960698,1651.685535,1654.347111,1647.919443,1638.85254,1624.095668,1613.739289,1610.738372,1619.542989,1634.808139,1648.189154,1660.849392,1672.188894,1683.80657,1689.240386,1685.326563,1669.987839,1653.669669,1642.123184,1643.784613,1656.300908,1670.543182,1689.274904,1703.045352,1717.155629,1724.867157,1729.145712,1730.142909,1723.668531,1715.044964,1704.646863,1698.233915,1707.31418,1721.404762,1738.955815,1739.476044,1737.052529,1731.8409,1728.286825,1716.018405,1691.678296,1657.251025,1628.445116,1616.715497,1619.357853,1634.830791,1656.569191,1688.532496,1720.123501,1748.157566,1766.26628,1777.688032,1779.748877,1776.045043,1771.487204,1776.986906,1793.416875,1813.112775,1837.387103,1863.199869,1891.17821,1912.393503,1928.218919,1934.446416,1932.682005,1925.09212,1918.399695,1916.852368,1926.183102,1941.938535,1963.24712,1983.233191,2007.710769,2027.564144,2039.778435,2043.611878,2033.510937,2019.531768,2005.986181,2007.594406,2019.671623,2040.143402,2059.352656,2082.541162,2100.912974,2118.611479,2125.165433,2122.086431,2114.813166,2107.731991,2105.533324,2107.968256,2118.446393,2140.833669,2166.903634,2194.689792,2220.651715,2244.265454,2257.728078,2260.187188
6915,4,San Antonio,city,TX,TX,"San Antonio-New Braunfels, TX",Bexar County,1016.318705,1019.829668,1026.83438,1035.016604,1044.78921,1052.12449,1053.994933,1052.329632,1051.357742,1055.47888,1056.625978,1057.357852,1057.744248,1062.559578,1069.601502,1077.917921,1084.19711,1088.83214,1091.23119,1094.48591,1095.965821,1094.161791,1094.346635,1093.627318,1099.721241,1104.856448,1112.561961,1118.535168,1123.770398,1131.776624,1135.225625,1134.386999,1131.086952,1127.202546,1124.103642,1122.419433,1124.266769,1130.881469,1137.922551,1143.486955,1147.882357,1153.179217,1159.760354,1165.214866,1165.362096,1164.949742,1163.185597,1161.832756,1162.576314,1164.717635,1172.431523,1179.105135,1185.462984,1190.8006,1196.034815,1204.6364,1206.945366,1205.929737,1197.22253,1194.688433,1194.731276,1201.904657,1206.261966,1207.409561,1204.558976,1205.367943,1212.26446,1218.331913,1221.750247,1220.787188,1220.736207,1222.914185,1225.412527,1230.714908,1238.574243,1253.116811,1270.019567,1292.088265,1317.453233,1345.062395,1364.99693,1375.096042,1379.467435,1385.218885,1391.127704,1401.810689,1414.542732,1427.660442,1440.515822,1449.69471,1463.111999,1466.329406,1463.502691,1450.594491,1442.050646,1437.51748,1442.994825,1447.073538,1458.267197,1460.826188,1465.304356,1461.88303,1460.14181,1456.764558,1451.879075,1444.145342,1438.166556,1433.634694,1433.265499,1434.008025,1438.989086,1446.350502,1451.095719,1452.388555,1452.25375,1451.173951,1445.608251,1431.984948,1423.285463,1418.687853,1424.261921,1431.3264,1439.490683,1440.486736,1441.313264,1439.585807,1444.057592,1438.956648
13271,5,Philadelphia,city,PA,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,1190.869547,1200.620512,1222.355203,1228.742087,1235.832047,1238.300332,1241.751381,1240.426488,1235.895237,1232.814371,1228.565519,1225.88966,1225.81851,1237.974682,1252.385556,1265.173913,1272.081774,1278.260432,1278.416866,1277.863595,1272.933431,1270.218214,1273.920495,1274.484477,1279.622105,1284.985903,1298.77538,1309.336102,1313.137467,1313.963378,1313.811142,1312.119605,1309.53591,1307.965578,1308.118771,1311.719199,1315.258362,1324.769048,1337.813411,1348.887825,1357.757761,1358.972259,1356.335842,1355.006479,1353.294213,1357.116561,1362.074547,1361.045807,1366.055057,1372.005718,1388.794377,1398.183197,1404.004304,1410.725009,1415.191516,1414.516155,1409.571667,1408.881602,1408.193197,1409.321612,1412.104222,1421.462884,1432.129955,1435.969965,1436.587406,1437.566717,1440.212174,1437.218967,1430.364754,1423.474005,1420.314689,1420.366976,1426.368224,1433.416014,1442.854227,1455.677343,1474.698698,1491.34287,1504.292046,1514.516122,1515.831355,1522.115409,1529.748514,1547.61081,1559.678296,1567.520806,1577.098729,1588.867606,1604.243938,1616.804552,1622.640853,1623.612003,1622.017286,1617.205798,1615.574849,1611.204153,1616.332348,1620.795032,1633.64479,1643.087168,1651.958102,1655.27294,1656.982886,1657.555504,1658.234143,1660.658188,1660.796304,1659.875485,1663.710475,1671.337647,1683.435594,1692.215289,1701.162498,1705.657819,1707.155594,1708.308995,1709.088402,1711.89314,1716.621478,1724.70366,1730.528577,1735.484656,1737.142243,1742.80198,1748.191866,1753.86232,1761.416668,1762.585614
40326,6,Phoenix,city,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,841.84982,853.4928122,860.8472534,869.8490397,873.098154,880.2542408,883.9155419,886.7204924,890.9243129,892.6114085,895.1476798,894.4453263,902.0432157,906.8996356,915.4178183,922.2999728,931.9841486,939.6934133,942.1693619,942.8343846,943.546503,943.5745361,944.5157484,944.4312377,950.7736908,959.9497237,971.7467247,983.6535099,995.3819899,1002.607137,1004.84274,1005.077922,1005.429491,1007.148728,1007.530607,1009.441095,1013.76027,1020.401142,1034.082135,1047.229814,1059.227488,1066.680657,1074.35303,1080.47621,1087.387424,1092.517223,1097.811766,1100.336567,1102.736305,1111.77147,1122.369266,1136.246254,1146.113335,1158.215377,1165.55349,1171.079801,1172.711858,1174.975641,1181.44573,1190.295617,1197.757576,1206.435865,1212.905069,1217.544578,1219.268673,1224.046131,1234.733972,1248.305798,1258.535906,1267.141626,1271.305236,1281.997948,1294.32702,1308.707,1328.389991,1356.579018,1395.577952,1433.900945,,1518.399276,1551.2394,1568.088582,1577.726278,1588.112085,1598.68304,1610.193775,1622.65445,1634.781832,1645.057251,1651.660083,1656.985455,1657.192677,1649.825302,1642.129691,1634.480312,1632.462639,1626.997118,1629.659134,1641.128245,1651.452274,1656.640967,1652.393554,1653.154522,1648.824251,1646.648357,1637.971789,1628.755223,1620.579011,1620.044153,1630.00828,1637.754594,1646.645826,1652.384774,1655.396168,1655.798725,1653.203811,1651.449832,1647.525776,1639.474946,1632.984321,1635.632951,1644.987499,1652.968865,1655.809693,1651.491038,1650.719695,1645.143441,1641.815087
18959,7,Las Vegas,city,NV,NV,"Las Vegas-Henderson-Paradise, NV",Clark County,965.9624065,970.9018099,976.697696,983.9770337,990.5817032,996.90654,1002.73537,1005.177228,1009.2086,1008.953529,1010.703121,1008.647509,1010.680737,1013.803253,1018.642963,1024.684597,1031.350571,1040.81913,1045.406738,1048.826199,1049.103302,1051.797462,1052.257448,1052.566459,1055.849937,1063.737039,1075.449012,1084.712582,1092.54736,1099.705659,1106.684368,1112.250004,1115.484387,1116.669825,1118.687176,1122.213603,1126.928839,1134.053234,1143.669519,1157.465908,1169.887462,1178.781271,1187.335328,1192.879233,1198.334283,1199.265417,1201.908753,1203.57445,1208.872953,1213.709507,1226.329467,1236.530951,1248.873997,1255.889973,1262.555059,1268.321539,1268.997545,1270.353145,1268.571097,1267.55262,1268.35805,1274.885816,1283.303851,1279.795208,1276.295741,1277.61784,1293.884817,1310.655855,1328.034341,1340.539804,1349.000916,1353.564912,1365.069832,1379.046225,1397.794806,1409.0353,1445.380626,1493.157491,1554.972419,1604.271615,1641.627498,1664.33972,1671.054184,1672.465707,1676.094589,1681.430801,1689.744711,1699.951784,1713.42657,1728.156012,1741.589971,1734.580706,1717.667088,1693.299654,1676.875038,1665.331806,1663.254756,1672.037871,1686.328511,1693.116537,1699.84518,1700.515156,1708.452733,1705.37039,1701.372916,1697.228506,1694.605081,1692.674669,1691.204566,1691.998311,1702.812562,1714.470208,1730.322643,1739.839638,1742.82212,1743.103564,1739.573591,1735.148715,1730.311414,1726.693732,1732.004457,1741.414052,1750.373632,1751.561296,1754.318912,1754.742446,1754.985879,1752.496509
54296,8,San Diego,city,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,1709.392214,1723.481143,1733.477403,1737.155551,1750.16226,1754.955092,1773.117824,1785.824667,1797.147913,1801.485204,1801.777675,1806.436701,1813.724023,1820.479512,1831.956231,1837.536845,1847.087452,1863.435616,1878.239569,1889.107532,1889.250277,1893.725628,1894.572217,1897.954737,1901.619562,1919.854391,1939.071862,1959.109891,1970.773241,1984.380259,1999.717731,2009.518509,2011.395056,2006.412992,2007.408924,2008.56925,2020.060631,2031.305478,2047.638002,2058.353139,2075.317921,2084.614716,2099.085235,2106.207769,2113.274482,2113.08789,2105.775851,2111.41923,2114.239283,2124.339596,2129.394183,2140.995689,2153.112476,2164.559341,2176.759,2186.002107,2187.943616,2185.632662,2184.742807,2191.652691,2197.426432,2202.69937,2202.42509,2192.265451,2184.137271,2178.822989,2188.063733,2193.248875,2203.325008,2216.098908,2231.077033,2240.637534,2252.206509,2262.183474,2281.860981,2306.872494,2346.036349,2384.79675,2438.253631,2492.977315,2553.459671,2590.105605,2615.838849,2627.874995,2643.945695,2670.08859,2705.432995,2750.551912,2793.235698,2839.432573,2873.853665,2904.062717,2909.634127,2901.959264,2879.106554,2865.830671,2863.823804,2873.602846,2898.541254,2922.702691,2955.674464,2978.109304,2999.373057,3001.51846,2997.820564,2982.679078,2959.815707,2936.31349,2922.82651,2932.910014,2952.064194,2973.707039,2990.811357,3006.968748,3020.897522,3024.84847,3026.305688,3024.358377,3022.918652,3010.221081,3009.959972,3012.320414,3032.179143,3040.05934,3052.197426,3063.234653,3070.427258,3077.221151
38128,9,Dallas,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Dallas County,1060.692478,1061.457422,1070.68993,1082.170778,1097.78336,1109.779693,1121.247127,1124.561784,1127.599593,1131.303452,1139.450144,1142.76832,1143.362019,1145.977518,1151.409615,1163.351242,1169.532006,1181.645368,1187.086123,1190.763601,1190.637569,1198.738181,1203.554335,1209.783487,1211.6532,1213.978198,1228.071987,1237.388974,1252.078272,1254.801889,1259.263342,1257.403668,1256.261206,1252.541295,1261.839085,1263.209247,1267.883751,1275.950435,1278.839627,1282.692138,1281.790584,1297.186027,1304.14843,1306.198035,1296.702988,1298.022975,1297.973169,1301.390509,1307.362611,1312.129128,1323.398722,1329.224541,1337.421042,1349.982013,1354.195435,1358.169282,1355.503212,1352.712241,1346.22247,1337.287066,1340.055755,1347.146726,1355.570092,1354.005317,1349.473947,1346.312835,1348.044942,1350.217498,1352.751833,1352.017137,1349.444252,1348.842531,1352.509078,1361.963136,1370.406112,1388.529049,1412.805188,1446.306934,1480.37616,1509.64119,1530.846473,1540.922129,1548.27072,1558.362853,1571.218773,1589.148719,1598.138051,1620.194349,1642.075671,1679.731,1699.681184,1707.565213,1701.054585,1682.143367,1671.076805,1657.501724,1655.645724,1654.890369,1662.893927,1670.333077,1678.038501,1682.04309,1687.495615,1688.212333,1686.622369,1678.045447,1666.658139,1655.530489,1650.416524,1649.99934,1647.769924,1648.459103,1653.748895,1665.090577,1674.055178,1677.45471,1671.794396,1667.635676,1662.382485,1657.339968,1653.500024,1656.437996,1665.816741,1677.705249,1679.865105,1682.103398,1676.020936,1671.330724
